n,iters,std_cnots,std_depth,std_z,qrasp_cnots,qrasp_depth,qrasp_z,p_ideal,p_noisy_std,p_qrasp_proj
2,2,4,10,40,8,24,192,0.248046875,0.2529296875,0.1736810019161901
3,2,24,46,1104,12,26,312,0.9423828125,0.67578125,0.5521476020614424
4,3,84,158,13272,24,42,1008,0.9716796875,0.404296875,0.3335637068807724
5,4,288,514,148032,40,60,2400,0.9990234375,0.0517578125,0.16813899841471366
6,6,1008,1562,1574496,72,96,6912,0.9951171875,0.0078125,0.04025698349149373
7,9,2232,3406,7602192,126,153,19278,0.986328125,0.0029296875,0.0035992637373731015
8,13,4680,6504,30438720,208,234,48672,0.9921875,0.0029296875,9.381584658795112e-05
9,18,18360,13824,253808640,324,342,110808,1.0,0.0,5.387056241790051e-07
10,25,51100,38400,1962240000,500,500,250000,1.0,0.0,2.1191404295727088e-10
11,36,147312,110592,16291528704,792,756,598752,1.0,0.0,4.749381143803378e-16
12,50,409400,307200,125767680000,1200,1100,1320000,1.0,0.0,6.0643375836404656e-24
13,71,1162980,872448,1014639575040,1846,1633,3014518,1.0,0.0,1.9238966994761873e-36
14,101,3309164,2482176,8213927460864,2828,2424,6855072,1.0,0.0,1.926457681765863e-55
15,142,9305544,6979584,64948826013696,4260,3550,15123000,1.0,0.0,3.792110295988896e-83
